account_id,company_name,email_domain,industry,state,size_class,n_employees,created_date
ACC-00001,da Cruz,alvesefilhos.net.br,Financeiro,RS,pequena,93,2024-04-13
ACC-00002,Pastor - ME,carvalhosous.com.br,Financeiro,RJ,pequena,126,2023-10-01
ACC-00003,da Conceição Montenegro - EI,alvess/a.com.br,Saúde,MG,pequena,95,2023-05-05
ACC-00004,Câmara,novaiss.a..org.br,Financeiro,DF,pequena,113,2023-09-01
ACC-00005,Abreu,pastor.com.br,Serviços,RS,pequena,105,2023-03-26
ACC-00006,Cassiano,sampaiolimal.com.br,Tecnologia,SP,media,216,2023-09-10
ACC-00007,Garcia S/A,teixeirafern.com.br,Indústria,RS,pequena,66,2024-03-30
ACC-00008,Aparecida,ferreira.com.br,Tecnologia,RS,,131,2023-12-14
ACC-00009,Garcia S/A,nascimento.com.br,Financeiro,PR,media,245,2024-01-21
ACC-00010,Oliveira,pires.com.br,Varejo,RJ,media,178,2024-04-11
ACC-00011,Vargas da Rocha S/A,santosazeved.com.br,Serviços,SP,media,309,2023-06-15
ACC-00012,Porto,britogarcial.com.br,Saúde,SP,pequena,91,2024-04-12
ACC-00013,Fogaça,castro.com.br,Serviços,RJ,media,350,2023-12-29
ACC-00014,Pereira e Filhos,riosdamataef.com.br,Varejo,RJ,media,155,2024-01-27
ACC-00015,Martins Garcia Ltda.,nascimentosi.org.br,Financeiro,SP,pequena,66,2023-07-28
ACC-00016,Andrade Dias - ME,rodriguesdua.net.br,Varejo,GO,grande,364,2023-09-28
ACC-00017,Nunes Silva Ltda.,azevedo.com.br,Financeiro,SP,media,308,2023-09-03
ACC-00018,Casa Grande,rezendemonte.com.br,Varejo,MG,pequena,96,2023-10-26
ACC-00019,Souza Novais - EI,carvalho.net.br,Financeiro,MG,pequena,81,2023-12-09
ACC-00020,Pacheco,souza.com.br,Varejo,SP,media,234,2023-12-27
ACC-00021,Carvalho Moraes - ME,fonseca.com.br,Varejo,SP,,499,2023-11-14
ACC-00022,Cassiano e Filhos,sás/a.com.br,Serviços,SP,media,342,2023-05-31
ACC-00023,Gomes - ME,vieirarodrig.com.br,Indústria,SP,media,312,2023-05-26
ACC-00024,Novaes,moura.com.br,Saúde,SP,grande,354,2023-06-14
ACC-00025,Rodrigues - EI,rodriguesefi.org.br,Tecnologia,PR,media,297,2024-02-01
ACC-00026,Camargo,vargas.org.br,Varejo,SP,media,197,2023-06-19
ACC-00027,Marques Abreu e Filhos,lopes.com.br,Educação,SP,pequena,112,2023-10-09
ACC-00028,Montenegro Caldeira e Filhos,montenegro.net.br,Serviços,GO,grande,357,2023-02-19
ACC-00029,Cassiano Freitas S.A.,porto.net.br,Serviços,MG,pequena,52,2024-02-26
ACC-00030,Almeida,peixotoltda..com.br,Tecnologia,SP,grande,463,2023-01-18
ACC-00031,Araújo da Costa - EI,fonsecaltda..com.br,Varejo,SP,media,294,2024-04-22
ACC-00032,Azevedo,barrosefilho.com.br,Serviços,SP,pequena,148,2023-04-06
ACC-00033,da Luz Moura - EI,cardosoribei.com.br,Varejo,MG,media,336,2024-01-15
ACC-00034,Silva das Neves - ME,cunha.org.br,Financeiro,SP,pequena,122,2023-11-06
