spend_id,week_start,week_end,channel,spend_brl,impressions,clicks,week_number
SPD-0001-PAID_S,2023-01-01,2023-01-07,paid_search,1190.06,2317,86,1
SPD-0001-LINKED,2023-01-01,2023-01-07,linkedin_ads,825.65,1055,31,1
SPD-0001-META_A,2023-01-01,2023-01-07,meta_ads,573.15,4884,176,1
SPD-0001-EMAIL_,2023-01-01,2023-01-07,email_marketing,99.76,7862,239,1
SPD-0001-WEBINA,2023-01-01,2023-01-07,webinar_evento,331.11,723,12,1
SPD-0001-ORGANI,2023-01-01,2023-01-07,organic_search,0.0,0,0,1
SPD-0001-DIRECT,2023-01-01,2023-01-07,direct,0.0,0,0,1
SPD-0002-PAID_S,2023-01-08,2023-01-14,paid_search,1085.93,3249,80,2
SPD-0002-LINKED,2023-01-08,2023-01-14,linkedin_ads,794.36,1025,42,2
SPD-0002-META_A,2023-01-08,2023-01-14,meta_ads,541.67,10769,131,2
SPD-0002-EMAIL_,2023-01-08,2023-01-14,email_marketing,87.63,27556,595,2
SPD-0002-WEBINA,2023-01-08,2023-01-14,webinar_evento,274.13,477,10,2
SPD-0002-ORGANI,2023-01-08,2023-01-14,organic_search,0.0,0,0,2
SPD-0002-DIRECT,2023-01-08,2023-01-14,direct,0.0,0,0,2
SPD-0003-PAID_S,2023-01-15,2023-01-21,paid_search,3336.04,31266,388,3
SPD-0003-LINKED,2023-01-15,2023-01-21,linkedin_ads,2359.41,5745,194,3
SPD-0003-META_A,2023-01-15,2023-01-21,meta_ads,2166.31,44725,517,3
SPD-0003-EMAIL_,2023-01-15,2023-01-21,email_marketing,414.27,20888,529,3
SPD-0003-WEBINA,2023-01-15,2023-01-21,webinar_evento,778.89,367,16,3
SPD-0003-ORGANI,2023-01-15,2023-01-21,organic_search,0.0,0,0,3
SPD-0003-DIRECT,2023-01-15,2023-01-21,direct,0.0,0,0,3
SPD-0004-PAID_S,2023-01-22,2023-01-28,paid_search,4620.47,12025,368,4
SPD-0004-LINKED,2023-01-22,2023-01-28,linkedin_ads,3301.16,16920,229,4
SPD-0004-META_A,2023-01-22,2023-01-28,meta_ads,2092.05,49725,1103,4
SPD-0004-EMAIL_,2023-01-22,2023-01-28,email_marketing,316.14,130589,1169,4
SPD-0004-WEBINA,2023-01-22,2023-01-28,webinar_evento,948.27,985,28,4
SPD-0004-ORGANI,2023-01-22,2023-01-28,organic_search,0.0,0,0,4
SPD-0004-DIRECT,2023-01-22,2023-01-28,direct,0.0,0,0,4
SPD-0005-PAID_S,2023-01-29,2023-02-04,paid_search,3831.98,7463,223,5
SPD-0005-LINKED,2023-01-29,2023-02-04,linkedin_ads,3282.63,17192,139,5
SPD-0005-META_A,2023-01-29,2023-02-04,meta_ads,2055.44,39028,397,5
SPD-0005-EMAIL_,2023-01-29,2023-02-04,email_marketing,363.79,48237,646,5
SPD-0005-WEBINA,2023-01-29,2023-02-04,webinar_evento,943.2,4181,36,5
SPD-0005-ORGANI,2023-01-29,2023-02-04,organic_search,0.0,0,0,5
SPD-0005-DIRECT,2023-01-29,2023-02-04,direct,0.0,0,0,5
SPD-0006-PAID_S,2023-02-05,2023-02-11,paid_search,1668.5,4225,156,6
SPD-0006-LINKED,2023-02-05,2023-02-11,linkedin_ads,1056.46,950,23,6
SPD-0006-META_A,2023-02-05,2023-02-11,meta_ads,627.91,7902,246,6
SPD-0006-EMAIL_,2023-02-05,2023-02-11,email_marketing,120.57,9296,197,6
SPD-0006-WEBINA,2023-02-05,2023-02-11,webinar_evento,275.58,129,5,6
SPD-0006-ORGANI,2023-02-05,2023-02-11,organic_search,0.0,0,0,6
SPD-0006-DIRECT,2023-02-05,2023-02-11,direct,0.0,0,0,6
SPD-0007-PAID_S,2023-02-12,2023-02-18,paid_search,1368.25,3852,101,7
SPD-0007-LINKED,2023-02-12,2023-02-18,linkedin_ads,1071.23,1545,43,7
SPD-0007-META_A,2023-02-12,2023-02-18,meta_ads,532.28,7041,260,7
SPD-0007-EMAIL_,2023-02-12,2023-02-18,email_marketing,115.5,65270,927,7
SPD-0007-WEBINA,2023-02-12,2023-02-18,webinar_evento,311.89,279,6,7
SPD-0007-ORGANI,2023-02-12,2023-02-18,organic_search,0.0,0,0,7
SPD-0007-DIRECT,2023-02-12,2023-02-18,direct,0.0,0,0,7
SPD-0008-PAID_S,2023-02-19,2023-02-25,paid_search,4564.74,13868,286,8
SPD-0008-LINKED,2023-02-19,2023-02-25,linkedin_ads,3104.34,8174,191,8
SPD-0008-META_A,2023-02-19,2023-02-25,meta_ads,1550.16,102719,1067,8
SPD-0008-EMAIL_,2023-02-19,2023-02-25,email_marketing,291.65,15115,425,8
SPD-0008-WEBINA,2023-02-19,2023-02-25,webinar_evento,1089.1,863,27,8
SPD-0008-ORGANI,2023-02-19,2023-02-25,organic_search,0.0,0,0,8
SPD-0008-DIRECT,2023-02-19,2023-02-25,direct,0.0,0,0,8
SPD-0009-PAID_S,2023-02-26,2023-03-04,paid_search,3632.4,14378,320,9
SPD-0009-LINKED,2023-02-26,2023-03-04,linkedin_ads,3249.63,4887,75,9
SPD-0009-META_A,2023-02-26,2023-03-04,meta_ads,1936.36,15756,454,9
SPD-0009-EMAIL_,2023-02-26,2023-03-04,email_marketing,294.36,14028,527,9
SPD-0009-WEBINA,2023-02-26,2023-03-04,webinar_evento,866.6,1788,22,9
SPD-0009-ORGANI,2023-02-26,2023-03-04,organic_search,0.0,0,0,9
SPD-0009-DIRECT,2023-02-26,2023-03-04,direct,0.0,0,0,9
SPD-0010-PAID_S,2023-03-05,2023-03-11,paid_search,5604.18,70082,1101,10
SPD-0010-LINKED,2023-03-05,2023-03-11,linkedin_ads,2930.16,2181,74,10
SPD-0010-META_A,2023-03-05,2023-03-11,meta_ads,1705.73,22905,819,10
SPD-0010-EMAIL_,2023-03-05,2023-03-11,email_marketing,383.06,74109,3236,10
SPD-0010-WEBINA,2023-03-05,2023-03-11,webinar_evento,914.15,1396,24,10
SPD-0010-ORGANI,2023-03-05,2023-03-11,organic_search,0.0,0,0,10
SPD-0010-DIRECT,2023-03-05,2023-03-11,direct,0.0,0,0,10
SPD-0011-PAID_S,2023-03-12,2023-03-18,paid_search,5234.7,15596,354,11
SPD-0011-LINKED,2023-03-12,2023-03-18,linkedin_ads,3389.06,2097,80,11
SPD-0011-META_A,2023-03-12,2023-03-18,meta_ads,2052.38,15141,618,11
SPD-0011-EMAIL_,2023-03-12,2023-03-18,email_marketing,324.18,179001,2795,11
SPD-0011-WEBINA,2023-03-12,2023-03-18,webinar_evento,1201.58,2910,54,11
SPD-0011-ORGANI,2023-03-12,2023-03-18,organic_search,0.0,0,0,11
SPD-0011-DIRECT,2023-03-12,2023-03-18,direct,0.0,0,0,11
SPD-0012-PAID_S,2023-03-19,2023-03-25,paid_search,5027.41,42362,814,12
SPD-0012-LINKED,2023-03-19,2023-03-25,linkedin_ads,3144.89,3600,161,12
SPD-0012-META_A,2023-03-19,2023-03-25,meta_ads,1838.68,13704,348,12
SPD-0012-EMAIL_,2023-03-19,2023-03-25,email_marketing,339.28,69933,1854,12
SPD-0012-WEBINA,2023-03-19,2023-03-25,webinar_evento,1000.11,896,39,12
SPD-0012-ORGANI,2023-03-19,2023-03-25,organic_search,0.0,0,0,12
SPD-0012-DIRECT,2023-03-19,2023-03-25,direct,0.0,0,0,12
SPD-0013-PAID_S,2023-03-26,2023-04-01,paid_search,4710.57,19690,277,13
SPD-0013-LINKED,2023-03-26,2023-04-01,linkedin_ads,2783.54,4837,87,13
SPD-0013-META_A,2023-03-26,2023-04-01,meta_ads,1856.94,103677,1122,13
SPD-0013-EMAIL_,2023-03-26,2023-04-01,email_marketing,438.73,33347,1474,13
SPD-0013-WEBINA,2023-03-26,2023-04-01,webinar_evento,927.7,1325,29,13
SPD-0013-ORGANI,2023-03-26,2023-04-01,organic_search,0.0,0,0,13
SPD-0013-DIRECT,2023-03-26,2023-04-01,direct,0.0,0,0,13
SPD-0014-PAID_S,2023-04-02,2023-04-08,paid_search,4157.3,6608,257,14
SPD-0014-LINKED,2023-04-02,2023-04-08,linkedin_ads,2228.13,2251,87,14
SPD-0014-META_A,2023-04-02,2023-04-08,meta_ads,1478.21,22271,392,14
SPD-0014-EMAIL_,2023-04-02,2023-04-08,email_marketing,334.33,37697,848,14
SPD-0014-WEBINA,2023-04-02,2023-04-08,webinar_evento,1068.62,651,27,14
SPD-0014-ORGANI,2023-04-02,2023-04-08,organic_search,0.0,0,0,14
SPD-0014-DIRECT,2023-04-02,2023-04-08,direct,0.0,0,0,14
SPD-0015-PAID_S,2023-04-09,2023-04-15,paid_search,4534.08,20067,527,15
SPD-0015-LINKED,2023-04-09,2023-04-15,linkedin_ads,2649.27,4484,67,15
SPD-0015-META_A,2023-04-09,2023-04-15,meta_ads,2170.1,17757,544,15
SPD-0015-EMAIL_,2023-04-09,2023-04-15,email_marketing,348.75,21832,714,15
SPD-0015-WEBINA,2023-04-09,2023-04-15,webinar_evento,981.08,1319,39,15
SPD-0015-ORGANI,2023-04-09,2023-04-15,organic_search,0.0,0,0,15
SPD-0015-DIRECT,2023-04-09,2023-04-15,direct,0.0,0,0,15
SPD-0016-PAID_S,2023-04-16,2023-04-22,paid_search,3915.31,10859,307,16
SPD-0016-LINKED,2023-04-16,2023-04-22,linkedin_ads,2416.27,2649,66,16
SPD-0016-META_A,2023-04-16,2023-04-22,meta_ads,1885.59,13216,425,16
SPD-0016-EMAIL_,2023-04-16,2023-04-22,email_marketing,380.91,128760,1556,16
SPD-0016-WEBINA,2023-04-16,2023-04-22,webinar_evento,986.3,3104,38,16
SPD-0016-ORGANI,2023-04-16,2023-04-22,organic_search,0.0,0,0,16
SPD-0016-DIRECT,2023-04-16,2023-04-22,direct,0.0,0,0,16
SPD-0017-PAID_S,2023-04-23,2023-04-29,paid_search,3543.86,9866,441,17
SPD-0017-LINKED,2023-04-23,2023-04-29,linkedin_ads,2391.42,2591,109,17
SPD-0017-META_A,2023-04-23,2023-04-29,meta_ads,2189.97,23461,952,17
SPD-0017-EMAIL_,2023-04-23,2023-04-29,email_marketing,296.39,55180,468,17
SPD-0017-WEBINA,2023-04-23,2023-04-29,webinar_evento,889.28,998,34,17
SPD-0017-ORGANI,2023-04-23,2023-04-29,organic_search,0.0,0,0,17
SPD-0017-DIRECT,2023-04-23,2023-04-29,direct,0.0,0,0,17
SPD-0018-PAID_S,2023-04-30,2023-05-06,paid_search,3352.33,9680,327,18
SPD-0018-LINKED,2023-04-30,2023-05-06,linkedin_ads,2268.86,2527,54,18
SPD-0018-META_A,2023-04-30,2023-05-06,meta_ads,1600.2,34129,701,18
SPD-0018-EMAIL_,2023-04-30,2023-05-06,email_marketing,304.62,21165,665,18
SPD-0018-WEBINA,2023-04-30,2023-05-06,webinar_evento,899.19,704,26,18
SPD-0018-ORGANI,2023-04-30,2023-05-06,organic_search,0.0,0,0,18
SPD-0018-DIRECT,2023-04-30,2023-05-06,direct,0.0,0,0,18
SPD-0019-PAID_S,2023-05-07,2023-05-13,paid_search,3826.17,7432,305,19
SPD-0019-LINKED,2023-05-07,2023-05-13,linkedin_ads,2462.65,1741,75,19
SPD-0019-META_A,2023-05-07,2023-05-13,meta_ads,1869.59,16280,317,19
SPD-0019-EMAIL_,2023-05-07,2023-05-13,email_marketing,355.33,137386,1118,19
SPD-0019-WEBINA,2023-05-07,2023-05-13,webinar_evento,1107.55,954,42,19
SPD-0019-ORGANI,2023-05-07,2023-05-13,organic_search,0.0,0,0,19
SPD-0019-DIRECT,2023-05-07,2023-05-13,direct,0.0,0,0,19
SPD-0020-PAID_S,2023-05-14,2023-05-20,paid_search,4411.51,6052,265,20
SPD-0020-LINKED,2023-05-14,2023-05-20,linkedin_ads,2846.55,1731,63,20
SPD-0020-META_A,2023-05-14,2023-05-20,meta_ads,1865.17,28245,429,20
SPD-0020-EMAIL_,2023-05-14,2023-05-20,email_marketing,278.67,41338,996,20
SPD-0020-WEBINA,2023-05-14,2023-05-20,webinar_evento,823.3,649,21,20
SPD-0020-ORGANI,2023-05-14,2023-05-20,organic_search,0.0,0,0,20
SPD-0020-DIRECT,2023-05-14,2023-05-20,direct,0.0,0,0,20
SPD-0021-PAID_S,2023-05-21,2023-05-27,paid_search,4416.1,6125,268,21
SPD-0021-LINKED,2023-05-21,2023-05-27,linkedin_ads,3204.47,6276,98,21
SPD-0021-META_A,2023-05-21,2023-05-27,meta_ads,2175.3,78366,1066,21
SPD-0021-EMAIL_,2023-05-21,2023-05-27,email_marketing,321.14,19268,640,21
SPD-0021-WEBINA,2023-05-21,2023-05-27,webinar_evento,743.94,967,14,21
SPD-0021-ORGANI,2023-05-21,2023-05-27,organic_search,0.0,0,0,21
SPD-0021-DIRECT,2023-05-21,2023-05-27,direct,0.0,0,0,21
SPD-0022-PAID_S,2023-05-28,2023-06-03,paid_search,3818.64,23004,467,22
SPD-0022-LINKED,2023-05-28,2023-06-03,linkedin_ads,3059.99,14995,229,22
SPD-0022-META_A,2023-05-28,2023-06-03,meta_ads,1494.55,6802,302,22
SPD-0022-EMAIL_,2023-05-28,2023-06-03,email_marketing,368.53,17260,718,22
SPD-0022-WEBINA,2023-05-28,2023-06-03,webinar_evento,833.24,1712,46,22
SPD-0022-ORGANI,2023-05-28,2023-06-03,organic_search,0.0,0,0,22
SPD-0022-DIRECT,2023-05-28,2023-06-03,direct,0.0,0,0,22
SPD-0023-PAID_S,2023-06-04,2023-06-10,paid_search,3758.55,15030,374,23
SPD-0023-LINKED,2023-06-04,2023-06-10,linkedin_ads,2570.53,4124,91,23
SPD-0023-META_A,2023-06-04,2023-06-10,meta_ads,1561.61,8572,291,23
SPD-0023-EMAIL_,2023-06-04,2023-06-10,email_marketing,282.86,134992,1562,23
SPD-0023-WEBINA,2023-06-04,2023-06-10,webinar_evento,761.85,3112,43,23
SPD-0023-ORGANI,2023-06-04,2023-06-10,organic_search,0.0,0,0,23
SPD-0023-DIRECT,2023-06-04,2023-06-10,direct,0.0,0,0,23
SPD-0024-PAID_S,2023-06-11,2023-06-17,paid_search,4735.49,8248,305,24
SPD-0024-LINKED,2023-06-11,2023-06-17,linkedin_ads,2898.52,2264,80,24
SPD-0024-META_A,2023-06-11,2023-06-17,meta_ads,2135.29,12823,452,24
SPD-0024-EMAIL_,2023-06-11,2023-06-17,email_marketing,388.56,49930,793,24
SPD-0024-WEBINA,2023-06-11,2023-06-17,webinar_evento,770.27,1931,22,24
SPD-0024-ORGANI,2023-06-11,2023-06-17,organic_search,0.0,0,0,24
SPD-0024-DIRECT,2023-06-11,2023-06-17,direct,0.0,0,0,24
SPD-0025-PAID_S,2023-06-18,2023-06-24,paid_search,3607.16,49037,937,25
SPD-0025-LINKED,2023-06-18,2023-06-24,linkedin_ads,3292.38,7922,134,25
SPD-0025-META_A,2023-06-18,2023-06-24,meta_ads,1776.22,20374,671,25
SPD-0025-EMAIL_,2023-06-18,2023-06-24,email_marketing,365.05,113823,3064,25
SPD-0025-WEBINA,2023-06-18,2023-06-24,webinar_evento,752.41,375,16,25
SPD-0025-ORGANI,2023-06-18,2023-06-24,organic_search,0.0,0,0,25
SPD-0025-DIRECT,2023-06-18,2023-06-24,direct,0.0,0,0,25
SPD-0026-PAID_S,2023-06-25,2023-07-01,paid_search,4834.62,20999,745,26
