session_id,user_pseudo_id,session_date,session_datetime,channel,utm_source,utm_medium,campaign,landing_page,device_category,engagement_time_sec,events_per_session,is_bounce,lead_id
SES-00125102,user_0055952,2023-01-01,2023-01-01T01:21:00,meta_ads,facebook,paid_social,facebook_retargeting_2023,/lp/trial-30-dias,desktop,121,1,1,
SES-00124919,user_0019635,2023-01-01,2023-01-01T03:38:00,linkedin_ads,linkedin,paid_social,lkd_awareness_2023,/lp/comparativo-erp,mobile,254,9,0,
SES-00149472,user_0090726,2023-01-01,2023-01-01T08:16:00,webinar_evento,webinar,evento,campanha_natal_2023,/lp/demo-gratis,tablet,117,5,1,
SES-00012547,user_0060565,2023-01-01,2023-01-01T09:04:00,organic_search,google,organic,,/lp/demo-gratis,desktop,102,3,1,
SES-00118005,user_0018732,2023-01-01,2023-01-01T09:18:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,157,2,0,
SES-00091180,user_0038798,2023-01-01,2023-01-01T09:36:00,linkedin_ads,linkedin,paid_social,linkedin_prospeccao_q1_2023,/lp/comparativo-erp,mobile,275,8,1,
SES-00036372,user_0067593,2023-01-01,2023-01-01T09:53:00,webinar_evento,webinar,evento,webinar_integracao_erp_2023,/lp/demo-gratis,desktop,318,9,0,
SES-00004788,user_0039030,2023-01-01,2023-01-01T10:11:00,organic_search,google,organic,(not set),/lp/demo-gratis,desktop,220,6,1,
SES-00129032,user_0014679,2023-01-01,2023-01-01T10:17:00,paid_search,google,cpc,integracao_erp_pesquisa_2023,/lp/roi-calculator,desktop,99,7,1,
SES-00039596,user_0058996,2023-01-01,2023-01-01T10:29:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,349,6,1,LEAD-000001
SES-00088952,user_0074574,2023-01-01,2023-01-01T10:53:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,328,5,1,LEAD-000002
SES-00048521,user_0057988,2023-01-01,2023-01-01T11:34:00,paid_search,google,cpc,google_branded_2023,/lp/roi-calculator,desktop,124,2,0,
SES-00045506,user_0065848,2023-01-01,2023-01-01T13:07:00,paid_search,google,cpc,pesquisa_concorrentes_q1_2023,/lp/roi-calculator,mobile,136,1,0,
SES-00084970,user_0076914,2023-01-01,2023-01-01T14:23:00,linkedin_ads,linkedin,paid_social,linkedin_prospecao_q1_2023,/lp/comparativo-erp,mobile,227,4,1,
SES-00095093,user_0090777,2023-01-01,2023-01-01T15:21:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,447,7,1,
SES-00131875,user_0079038,2023-01-01,2023-01-01T15:44:00,direct,(direct),(none),,/lp/comparativo-erp,desktop,250,10,0,
SES-00148303,user_0060229,2023-01-01,2023-01-01T17:13:00,organic_search,google,organic,(none),/lp/demo-gratis,desktop,266,14,1,
SES-00002014,user_0054073,2023-01-01,2023-01-01T17:32:00,email_marketing,email,email,newsletter_mensal_01_2023,/webinar/integracao-erp-ao-vivo,desktop,5,2,0,
