opp_id,lead_id,account_id,first_touch_channel,stage,amount_brl,created_date,close_date,is_won,win_probability_hist,stage_prospecting_dt,stage_qualification_dt,stage_proposal_dt,stage_negotiation_dt,stage_closed_dt
OPP-00001,LEAD-000007,ACC-01330,direct,Closed Won,34100.0,2023-01-11,2023-02-27,1,0.315,2023-01-11,2023-01-23,2023-02-03,2023-02-09,2023-02-27
OPP-00002,LEAD-000011,ACC-01186,meta_ads,Closed Lost,22000.0,2023-01-08,2023-02-11,0,0.112,2023-01-08,2023-01-10,2023-01-18,2023-01-30,2023-02-11
OPP-00003,LEAD-000015,ACC-00296,organic_search,Closed Won,148100.0,2023-01-12,2023-02-28,1,0.317,2023-01-12,2023-01-25,2023-02-18,2023-02-25,2023-02-28
OPP-00004,LEAD-000016,ACC-00152,direct,Closed Won,101200.0,2023-01-22,2023-02-27,1,0.358,2023-01-22,2023-02-06,2023-02-11,2023-02-12,2023-02-27
OPP-00005,LEAD-000022,ACC-00639,organic_search,Closed Lost,37400.0,2023-01-10,2023-03-04,0,0.238,2023-01-10,2023-01-11,2023-02-08,2023-02-14,2023-03-04
OPP-00006,LEAD-000023,ACC-00952,meta_ads,Closed Lost,46300.0,2023-01-28,2023-03-14,0,0.145,2023-01-28,2023-02-08,2023-02-20,2023-03-13,2023-03-14
OPP-00007,LEAD-000024,ACC-00352,paid_search,Closed Lost,58400.0,2023-01-17,2023-02-22,0,0.24,2023-01-17,2023-01-19,2023-01-19,2023-01-23,2023-02-22
OPP-00008,LEAD-000030,ACC-01988,linkedin_ads,Closed Lost,92500.0,2023-01-31,2023-04-22,0,0.297,2023-01-31,2023-03-21,2023-04-07,2023-04-16,2023-04-22
OPP-00009,LEAD-000038,ACC-01876,organic_search,Closed Lost,40800.0,2023-01-25,2023-03-26,0,0.29,2023-01-25,2023-02-06,2023-02-23,2023-03-10,2023-03-26
OPP-00010,LEAD-000043,ACC-01500,linkedin_ads,Closed Lost,74100.0,2023-01-22,2023-03-19,0,0.327,2023-01-22,2023-02-06,2023-02-19,2023-03-11,2023-03-19
OPP-00011,LEAD-000052,ACC-00719,paid_search,Closed Lost,134600.0,2023-01-21,2023-03-06,0,0.23,2023-01-21,2023-02-03,2023-02-16,2023-03-04,2023-03-06
OPP-00012,LEAD-000060,ACC-00314,paid_search,Closed Won,126700.0,2023-01-19,2023-02-23,1,0.293,2023-01-19,2023-01-27,2023-01-31,2023-02-05,2023-02-23
OPP-00013,LEAD-000065,ACC-01676,organic_search,Closed Lost,30500.0,2023-01-23,2023-03-15,0,0.317,2023-01-23,2023-02-09,2023-02-11,2023-03-12,2023-03-15
OPP-00014,LEAD-000069,ACC-00781,direct,Closed Lost,47400.0,2023-01-19,2023-03-07,0,0.343,2023-01-19,2023-01-29,2023-02-22,2023-02-28,2023-03-07
OPP-00015,LEAD-000070,ACC-00986,paid_search,Closed Lost,30000.0,2023-01-24,2023-02-27,0,0.209,2023-01-24,2023-01-28,2023-02-06,2023-02-26,2023-02-27
OPP-00016,LEAD-000076,ACC-00463,linkedin_ads,Closed Lost,45600.0,2023-01-22,2023-03-23,0,0.267,2023-01-22,2023-02-18,2023-03-03,2023-03-05,2023-03-23
OPP-00017,LEAD-000085,ACC-00910,webinar_evento,Closed Lost,188000.0,2023-01-20,2023-03-25,0,0.318,2023-01-20,2023-02-03,2023-03-02,2023-03-22,2023-03-25
OPP-00018,LEAD-000088,ACC-01141,organic_search,Closed Lost,93000.0,2023-01-20,2023-03-25,0,0.33,2023-01-20,2023-02-02,2023-02-27,2023-03-03,2023-03-25
OPP-00019,LEAD-000089,ACC-00225,direct,Closed Won,33800.0,2023-02-01,2023-03-20,1,0.343,2023-02-01,2023-02-09,2023-02-10,2023-02-22,2023-03-20
OPP-00020,LEAD-000090,ACC-00077,paid_search,Closed Lost,80200.0,2023-01-24,2023-02-28,0,0.261,2023-01-24,2023-01-24,2023-02-02,2023-02-06,2023-02-28
OPP-00021,LEAD-000095,ACC-01790,organic_search,Closed Won,92200.0,2023-01-21,2023-03-22,1,0.277,2023-01-21,2023-02-06,2023-02-14,2023-02-21,2023-03-22
OPP-00022,LEAD-000110,ACC-00599,organic_search,Closed Won,140800.0,2023-02-04,2023-03-30,1,0.304,2023-02-04,2023-02-18,2023-03-12,2023-03-27,2023-03-30
OPP-00023,LEAD-000111,ACC-01920,webinar_evento,Closed Won,112000.0,2023-01-23,2023-03-11,1,0.393,2023-01-23,2023-02-09,2023-02-10,2023-03-09,2023-03-11
OPP-00024,LEAD-000126,ACC-00601,paid_search,Closed Lost,64900.0,2023-02-02,2023-03-22,0,0.209,2023-02-02,2023-03-02,2023-03-05,2023-03-07,2023-03-22
OPP-00025,LEAD-000134,ACC-00648,webinar_evento,Closed Lost,48900.0,2023-02-06,2023-05-02,0,0.411,2023-02-06,2023-03-11,2023-03-18,2023-04-24,2023-05-02
OPP-00026,LEAD-000139,ACC-00518,paid_search,Closed Lost,67800.0,2023-02-06,2023-03-07,0,0.24,2023-02-06,2023-02-09,2023-02-09,2023-02-15,2023-03-07
